City,Post,Cleaned_Post,Traffic_Location,Traffic_Cause,Alert_Message,Named_Entities
Bangalore,Rain causing waterlogging near Electronic City. Drive carefully!,rain causing waterlogging near electronic city drive carefully,Electronic City,rain,Traffic alert in Bangalore near Electronic City. Cause: rain.,{'Electronic City': 'GPE'}
Delhi,"Avoid Saket if possible, traffic jam reported.",avoid saket possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other.,{'Avoid Saket': 'ORG'}
Delhi,"Traffic is heavy near Chandni Chowk, please take another route.",traffic heavy near chandni chowk please take another route,,other,Traffic alert in Delhi near unknown location. Cause: other.,{'Chandni Chowk': 'ORG'}
Mumbai,"Road construction near Dadar, causing slow traffic.",road construction near dadar causing slow traffic,Dadar,road_construction,Traffic alert in Mumbai near Dadar. Cause: road_construction.,{'Dadar': 'GPE'}
Mumbai,Bandra route is experiencing high traffic volume.,bandra route experiencing high traffic volume,,other,Traffic alert in Mumbai near unknown location. Cause: other.,{'Bandra': 'PERSON'}
Bangalore,"Avoid Koramangala if possible, traffic jam reported.",avoid koramangala possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,{'Avoid Koramangala': 'PERSON'}
Bangalore,Indiranagar route is experiencing high traffic volume.,indiranagar route experiencing high traffic volume,,other,Traffic alert in Bangalore near unknown location. Cause: other.,{}
Delhi,"Traffic moving smoothly near Connaught Place, all clear!",traffic moving smoothly near connaught place clear,,other,Traffic alert in Delhi near unknown location. Cause: other.,{'Connaught Place': 'ORG'}
Delhi,"Road construction near Chandni Chowk, causing slow traffic.",road construction near chandni chowk causing slow traffic,,road_construction,Traffic alert in Delhi near unknown location. Cause: road_construction.,{'Chandni Chowk': 'ORG'}
Delhi,Rain causing waterlogging near Dwarka. Drive carefully!,rain causing waterlogging near dwarka drive carefully,Dwarka,rain,Traffic alert in Delhi near Dwarka. Cause: rain.,{'Dwarka': 'GPE'}
Mumbai,Vehicle breakdown near Bandra causing congestion.,vehicle breakdown near bandra causing congestion,Bandra,vehicle_breakdown,Traffic alert in Mumbai near Bandra. Cause: vehicle_breakdown.,{'Bandra': 'GPE'}
Bangalore,"Avoid Electronic City if possible, traffic jam reported.",avoid electronic city possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,{'Avoid Electronic City': 'ORG'}
Mumbai,Rain causing waterlogging near Colaba. Drive carefully!,rain causing waterlogging near colaba drive carefully,Colaba,rain,Traffic alert in Mumbai near Colaba. Cause: rain.,{'Colaba': 'GPE'}
Bangalore,"Traffic is heavy near Marathahalli, please take another route.",traffic heavy near marathahalli please take another route,,other,Traffic alert in Bangalore near unknown location. Cause: other.,{'Marathahalli': 'PERSON'}
Mumbai,Accident reported near Dadar. Expect delays.,accident reported near dadar expect delays,,accident,Traffic alert in Mumbai near unknown location. Cause: accident.,{'Dadar': 'PRODUCT'}
Hyderabad,"Avoid Hitech City if possible, traffic jam reported.",avoid hitech city possible traffic jam reported,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,{'Avoid Hitech City': 'ORG'}
Bangalore,Vehicle breakdown near Koramangala causing congestion.,vehicle breakdown near koramangala causing congestion,Koramangala,vehicle_breakdown,Traffic alert in Bangalore near Koramangala. Cause: vehicle_breakdown.,{'Koramangala': 'GPE'}
Mumbai,Rain causing waterlogging near Bandra. Drive carefully!,rain causing waterlogging near bandra drive carefully,,rain,Traffic alert in Mumbai near unknown location. Cause: rain.,{'Bandra': 'PERSON'}
Hyderabad,"Traffic moving smoothly near Jubilee Hills, all clear!",traffic moving smoothly near jubilee hills clear,Jubilee Hills,other,Traffic alert in Hyderabad near Jubilee Hills. Cause: other.,{'Jubilee Hills': 'GPE'}
Mumbai,Andheri route is experiencing high traffic volume.,andheri route experiencing high traffic volume,,other,Traffic alert in Mumbai near unknown location. Cause: other.,{'Andheri': 'ORG'}
Mumbai,"Traffic moving smoothly near Dadar, all clear!",traffic moving smoothly near dadar clear,,other,Traffic alert in Mumbai near unknown location. Cause: other.,{'Dadar': 'DATE'}
Delhi,Peak hour traffic near Karol Bagh. Plan accordingly.,peak hour traffic near karol bagh plan accordingly,,other,Traffic alert in Delhi near unknown location. Cause: other.,"{'Peak hour': 'TIME', 'Karol Bagh': 'PERSON'}"
Delhi,Rain causing waterlogging near Saket. Drive carefully!,rain causing waterlogging near saket drive carefully,Saket,rain,Traffic alert in Delhi near Saket. Cause: rain.,{'Saket': 'GPE'}
Hyderabad,Rain causing waterlogging near Hitech City. Drive carefully!,rain causing waterlogging near hitech city drive carefully,Hitech City,rain,Traffic alert in Hyderabad near Hitech City. Cause: rain.,{'Hitech City': 'GPE'}
Hyderabad,Jubilee Hills route is experiencing high traffic volume.,jubilee hills route experiencing high traffic volume,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,{'Jubilee Hills': 'PERSON'}
Mumbai,Vehicle breakdown near Colaba causing congestion.,vehicle breakdown near colaba causing congestion,Colaba,vehicle_breakdown,Traffic alert in Mumbai near Colaba. Cause: vehicle_breakdown.,{'Colaba': 'GPE'}
Bangalore,"Police checkpoint near Kasavanahalli, causing minor delays.",police checkpoint near kasavanahalli causing minor delays,Kasavanahalli,checkpoint,Traffic alert in Bangalore near Kasavanahalli. Cause: checkpoint.,{'Kasavanahalli': 'GPE'}
Mumbai,Peak hour traffic near Dadar. Plan accordingly.,peak hour traffic near dadar plan accordingly,,other,Traffic alert in Mumbai near unknown location. Cause: other.,{'Peak hour': 'TIME'}
Hyderabad,Rain causing waterlogging near Jubilee Hills. Drive carefully!,rain causing waterlogging near jubilee hills drive carefully,Jubilee Hills,rain,Traffic alert in Hyderabad near Jubilee Hills. Cause: rain.,{'Jubilee Hills': 'GPE'}
Hyderabad,"Road construction near Jubilee Hills, causing slow traffic.",road construction near jubilee hills causing slow traffic,Jubilee Hills,road_construction,Traffic alert in Hyderabad near Jubilee Hills. Cause: road_construction.,{'Jubilee Hills': 'GPE'}
Mumbai,"Police checkpoint near Dadar, causing minor delays.",police checkpoint near dadar causing minor delays,Dadar,checkpoint,Traffic alert in Mumbai near Dadar. Cause: checkpoint.,{'Dadar': 'GPE'}
Mumbai,Peak hour traffic near Powai. Plan accordingly.,peak hour traffic near powai plan accordingly,Powai,other,Traffic alert in Mumbai near Powai. Cause: other.,"{'Peak hour': 'TIME', 'Powai': 'GPE'}"
Mumbai,"Avoid Colaba if possible, traffic jam reported.",avoid colaba possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other.,{'Avoid Colaba': 'PERSON'}
Delhi,Dwarka route is experiencing high traffic volume.,dwarka route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,{}
Bangalore,Accident reported near Koramangala. Expect delays.,accident reported near koramangala expect delays,Koramangala,accident,Traffic alert in Bangalore near Koramangala. Cause: accident.,{'Koramangala': 'GPE'}
Delhi,"Police checkpoint near Chandni Chowk, causing minor delays.",police checkpoint near chandni chowk causing minor delays,,checkpoint,Traffic alert in Delhi near unknown location. Cause: checkpoint.,{'Chandni Chowk': 'ORG'}
Delhi,Karol Bagh route is experiencing high traffic volume.,karol bagh route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,{'Karol Bagh': 'PERSON'}
Delhi,Accident reported near Chandni Chowk. Expect delays.,accident reported near chandni chowk expect delays,,accident,Traffic alert in Delhi near unknown location. Cause: accident.,{'Chandni Chowk': 'ORG'}
Mumbai,Peak hour traffic near Andheri. Plan accordingly.,peak hour traffic near andheri plan accordingly,Andheri,other,Traffic alert in Mumbai near Andheri. Cause: other.,"{'Peak hour': 'TIME', 'Andheri': 'GPE'}"
Hyderabad,Vehicle breakdown near Gachibowli causing congestion.,vehicle breakdown near gachibowli causing congestion,Gachibowli,vehicle_breakdown,Traffic alert in Hyderabad near Gachibowli. Cause: vehicle_breakdown.,{'Gachibowli': 'GPE'}
Mumbai,"Police checkpoint near Bandra, causing minor delays.",police checkpoint near bandra causing minor delays,Bandra,checkpoint,Traffic alert in Mumbai near Bandra. Cause: checkpoint.,{'Bandra': 'GPE'}
Mumbai,"Road construction near Bandra, causing slow traffic.",road construction near bandra causing slow traffic,Bandra,road_construction,Traffic alert in Mumbai near Bandra. Cause: road_construction.,{'Bandra': 'GPE'}
Hyderabad,"Traffic moving smoothly near Gachibowli, all clear!",traffic moving smoothly near gachibowli clear,Gachibowli,other,Traffic alert in Hyderabad near Gachibowli. Cause: other.,{'Gachibowli': 'GPE'}
Bangalore,Peak hour traffic near Kasavanahalli. Plan accordingly.,peak hour traffic near kasavanahalli plan accordingly,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"{'Peak hour': 'TIME', 'Kasavanahalli': 'PERSON'}"
Delhi,"Road construction near Connaught Place, causing slow traffic.",road construction near connaught place causing slow traffic,,road_construction,Traffic alert in Delhi near unknown location. Cause: road_construction.,{'Connaught Place': 'ORG'}
Mumbai,"Traffic is heavy near Colaba, please take another route.",traffic heavy near colaba please take another route,Colaba,other,Traffic alert in Mumbai near Colaba. Cause: other.,{'Colaba': 'GPE'}
Delhi,Accident reported near Connaught Place. Expect delays.,accident reported near connaught place expect delays,,accident,Traffic alert in Delhi near unknown location. Cause: accident.,{'Connaught Place': 'ORG'}
Delhi,"Traffic moving smoothly near Saket, all clear!",traffic moving smoothly near saket clear,Saket,other,Traffic alert in Delhi near Saket. Cause: other.,{'Saket': 'GPE'}
Mumbai,"Avoid Andheri if possible, traffic jam reported.",avoid andheri possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other.,{'Avoid Andheri': 'ORG'}
Bangalore,"Road construction near Marathahalli, causing slow traffic.",road construction near marathahalli causing slow traffic,Marathahalli,road_construction,Traffic alert in Bangalore near Marathahalli. Cause: road_construction.,{'Marathahalli': 'GPE'}
Delhi,Vehicle breakdown near Saket causing congestion.,vehicle breakdown near saket causing congestion,Saket,vehicle_breakdown,Traffic alert in Delhi near Saket. Cause: vehicle_breakdown.,{'Saket': 'GPE'}
Delhi,Saket route is experiencing high traffic volume.,saket route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,{}
Delhi,Accident reported near Dwarka. Expect delays.,accident reported near dwarka expect delays,Dwarka,accident,Traffic alert in Delhi near Dwarka. Cause: accident.,{'Dwarka': 'GPE'}
Mumbai,Rain causing waterlogging near Powai. Drive carefully!,rain causing waterlogging near powai drive carefully,Powai,rain,Traffic alert in Mumbai near Powai. Cause: rain.,{'Powai': 'GPE'}
Mumbai,Rain causing waterlogging near Andheri. Drive carefully!,rain causing waterlogging near andheri drive carefully,Andheri,rain,Traffic alert in Mumbai near Andheri. Cause: rain.,{'Andheri': 'GPE'}
Delhi,Rain causing waterlogging near Connaught Place. Drive carefully!,rain causing waterlogging near connaught place drive carefully,,rain,Traffic alert in Delhi near unknown location. Cause: rain.,{'Connaught Place': 'ORG'}
Hyderabad,Vehicle breakdown near Secunderabad causing congestion.,vehicle breakdown near secunderabad causing congestion,Secunderabad,vehicle_breakdown,Traffic alert in Hyderabad near Secunderabad. Cause: vehicle_breakdown.,{'Secunderabad': 'GPE'}
Bangalore,"Avoid Indiranagar if possible, traffic jam reported.",avoid indiranagar possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,{}
Mumbai,"Traffic moving smoothly near Colaba, all clear!",traffic moving smoothly near colaba clear,Colaba,other,Traffic alert in Mumbai near Colaba. Cause: other.,{'Colaba': 'GPE'}
Mumbai,"Traffic moving smoothly near Bandra, all clear!",traffic moving smoothly near bandra clear,,other,Traffic alert in Mumbai near unknown location. Cause: other.,{'Bandra': 'PERSON'}
Hyderabad,Gachibowli route is experiencing high traffic volume.,gachibowli route experiencing high traffic volume,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,{}
Bangalore,Vehicle breakdown near Electronic City causing congestion.,vehicle breakdown near electronic city causing congestion,Electronic City,vehicle_breakdown,Traffic alert in Bangalore near Electronic City. Cause: vehicle_breakdown.,{'Electronic City': 'GPE'}
Mumbai,Accident reported near Bandra. Expect delays.,accident reported near bandra expect delays,Bandra,accident,Traffic alert in Mumbai near Bandra. Cause: accident.,{'Bandra': 'GPE'}
Bangalore,Rain causing waterlogging near Koramangala. Drive carefully!,rain causing waterlogging near koramangala drive carefully,Koramangala,rain,Traffic alert in Bangalore near Koramangala. Cause: rain.,{'Koramangala': 'GPE'}
