City,Post,Cleaned_Post,Traffic_Location,Traffic_Cause,Alert_Message,Tokens,Topic
Mumbai,"Police checkpoint near Powai, causing minor delays.",police checkpoint near powai causing minor delays,Powai,checkpoint,Traffic alert in Mumbai near Powai. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'powai', 'causing', 'minor', 'delays']",2
Delhi,Vehicle breakdown near Dwarka causing congestion.,vehicle breakdown near dwarka causing congestion,Dwarka,vehicle_breakdown,Traffic alert in Delhi near Dwarka. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'dwarka', 'causing', 'congestion']",0
Mumbai,Vehicle breakdown near Dadar causing congestion.,vehicle breakdown near dadar causing congestion,,vehicle_breakdown,Traffic alert in Mumbai near unknown location. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'dadar', 'causing', 'congestion']",0
Hyderabad,Accident reported near Banjara Hills. Expect delays.,accident reported near banjara hills expect delays,Banjara Hills,accident,Traffic alert in Hyderabad near Banjara Hills. Cause: accident.,"['accident', 'reported', 'near', 'banjara', 'hills', 'expect', 'delays']",2
Mumbai,"Traffic is heavy near Powai, please take another route.",traffic heavy near powai please take another route,Powai,other,Traffic alert in Mumbai near Powai. Cause: other.,"['traffic', 'heavy', 'near', 'powai', 'please', 'take', 'another', 'route']",1
Delhi,"Avoid Connaught Place if possible, traffic jam reported.",avoid connaught place possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['avoid', 'connaught', 'place', 'possible', 'traffic', 'jam', 'reported']",2
Hyderabad,Vehicle breakdown near Jubilee Hills causing congestion.,vehicle breakdown near jubilee hills causing congestion,Jubilee Hills,vehicle_breakdown,Traffic alert in Hyderabad near Jubilee Hills. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'jubilee', 'hills', 'causing', 'congestion']",0
Bangalore,"Traffic is heavy near Indiranagar, please take another route.",traffic heavy near indiranagar please take another route,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['traffic', 'heavy', 'near', 'indiranagar', 'please', 'take', 'another', 'route']",1
Hyderabad,Rain causing waterlogging near Banjara Hills. Drive carefully!,rain causing waterlogging near banjara hills drive carefully,Banjara Hills,rain,Traffic alert in Hyderabad near Banjara Hills. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'banjara', 'hills', 'drive', 'carefully']",0
Delhi,Accident reported near Saket. Expect delays.,accident reported near saket expect delays,Saket,accident,Traffic alert in Delhi near Saket. Cause: accident.,"['accident', 'reported', 'near', 'saket', 'expect', 'delays']",2
Mumbai,"Traffic moving smoothly near Powai, all clear!",traffic moving smoothly near powai clear,Powai,other,Traffic alert in Mumbai near Powai. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'powai', 'clear']",2
Delhi,Peak hour traffic near Connaught Place. Plan accordingly.,peak hour traffic near connaught place plan accordingly,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'connaught', 'place', 'plan', 'accordingly']",0
Bangalore,Peak hour traffic near Marathahalli. Plan accordingly.,peak hour traffic near marathahalli plan accordingly,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'marathahalli', 'plan', 'accordingly']",0
Bangalore,"Traffic is heavy near Koramangala, please take another route.",traffic heavy near koramangala please take another route,Koramangala,other,Traffic alert in Bangalore near Koramangala. Cause: other.,"['traffic', 'heavy', 'near', 'koramangala', 'please', 'take', 'another', 'route']",1
Delhi,"Road construction near Saket, causing slow traffic.",road construction near saket causing slow traffic,Saket,road_construction,Traffic alert in Delhi near Saket. Cause: road_construction.,"['road', 'construction', 'near', 'saket', 'causing', 'slow', 'traffic']",1
Bangalore,"Police checkpoint near Koramangala, causing minor delays.",police checkpoint near koramangala causing minor delays,Koramangala,checkpoint,Traffic alert in Bangalore near Koramangala. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'koramangala', 'causing', 'minor', 'delays']",2
Bangalore,Peak hour traffic near Koramangala. Plan accordingly.,peak hour traffic near koramangala plan accordingly,Koramangala,other,Traffic alert in Bangalore near Koramangala. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'koramangala', 'plan', 'accordingly']",0
Hyderabad,"Traffic is heavy near Secunderabad, please take another route.",traffic heavy near secunderabad please take another route,Secunderabad,other,Traffic alert in Hyderabad near Secunderabad. Cause: other.,"['traffic', 'heavy', 'near', 'secunderabad', 'please', 'take', 'another', 'route']",1
Delhi,"Police checkpoint near Connaught Place, causing minor delays.",police checkpoint near connaught place causing minor delays,,checkpoint,Traffic alert in Delhi near unknown location. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'connaught', 'place', 'causing', 'minor', 'delays']",2
Delhi,Rain causing waterlogging near Chandni Chowk. Drive carefully!,rain causing waterlogging near chandni chowk drive carefully,,rain,Traffic alert in Delhi near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'chandni', 'chowk', 'drive', 'carefully']",0
Mumbai,"Traffic moving smoothly near Andheri, all clear!",traffic moving smoothly near andheri clear,Andheri,other,Traffic alert in Mumbai near Andheri. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'andheri', 'clear']",2
Delhi,"Traffic is heavy near Dwarka, please take another route.",traffic heavy near dwarka please take another route,Dwarka,other,Traffic alert in Delhi near Dwarka. Cause: other.,"['traffic', 'heavy', 'near', 'dwarka', 'please', 'take', 'another', 'route']",1
Bangalore,Vehicle breakdown near Kasavanahalli causing congestion.,vehicle breakdown near kasavanahalli causing congestion,Kasavanahalli,vehicle_breakdown,Traffic alert in Bangalore near Kasavanahalli. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'kasavanahalli', 'causing', 'congestion']",0
Hyderabad,Peak hour traffic near Hitech City. Plan accordingly.,peak hour traffic near hitech city plan accordingly,Hitech City,other,Traffic alert in Hyderabad near Hitech City. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'hitech', 'city', 'plan', 'accordingly']",0
Bangalore,Rain causing waterlogging near Electronic City. Drive carefully!,rain causing waterlogging near electronic city drive carefully,Electronic City,rain,Traffic alert in Bangalore near Electronic City. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'electronic', 'city', 'drive', 'carefully']",0
Delhi,"Avoid Saket if possible, traffic jam reported.",avoid saket possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['avoid', 'saket', 'possible', 'traffic', 'jam', 'reported']",2
Delhi,"Traffic is heavy near Chandni Chowk, please take another route.",traffic heavy near chandni chowk please take another route,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['traffic', 'heavy', 'near', 'chandni', 'chowk', 'please', 'take', 'another', 'route']",1
Mumbai,"Road construction near Dadar, causing slow traffic.",road construction near dadar causing slow traffic,Dadar,road_construction,Traffic alert in Mumbai near Dadar. Cause: road_construction.,"['road', 'construction', 'near', 'dadar', 'causing', 'slow', 'traffic']",1
Mumbai,Bandra route is experiencing high traffic volume.,bandra route experiencing high traffic volume,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['bandra', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,"Avoid Koramangala if possible, traffic jam reported.",avoid koramangala possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['avoid', 'koramangala', 'possible', 'traffic', 'jam', 'reported']",2
Bangalore,Indiranagar route is experiencing high traffic volume.,indiranagar route experiencing high traffic volume,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['indiranagar', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Delhi,"Traffic moving smoothly near Connaught Place, all clear!",traffic moving smoothly near connaught place clear,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'connaught', 'place', 'clear']",2
Delhi,"Road construction near Chandni Chowk, causing slow traffic.",road construction near chandni chowk causing slow traffic,,road_construction,Traffic alert in Delhi near unknown location. Cause: road_construction.,"['road', 'construction', 'near', 'chandni', 'chowk', 'causing', 'slow', 'traffic']",1
Delhi,Rain causing waterlogging near Dwarka. Drive carefully!,rain causing waterlogging near dwarka drive carefully,Dwarka,rain,Traffic alert in Delhi near Dwarka. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'dwarka', 'drive', 'carefully']",0
Mumbai,Vehicle breakdown near Bandra causing congestion.,vehicle breakdown near bandra causing congestion,Bandra,vehicle_breakdown,Traffic alert in Mumbai near Bandra. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'bandra', 'causing', 'congestion']",0
Bangalore,"Avoid Electronic City if possible, traffic jam reported.",avoid electronic city possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['avoid', 'electronic', 'city', 'possible', 'traffic', 'jam', 'reported']",2
Mumbai,Rain causing waterlogging near Colaba. Drive carefully!,rain causing waterlogging near colaba drive carefully,Colaba,rain,Traffic alert in Mumbai near Colaba. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'colaba', 'drive', 'carefully']",0
Bangalore,"Traffic is heavy near Marathahalli, please take another route.",traffic heavy near marathahalli please take another route,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['traffic', 'heavy', 'near', 'marathahalli', 'please', 'take', 'another', 'route']",1
Mumbai,Accident reported near Dadar. Expect delays.,accident reported near dadar expect delays,,accident,Traffic alert in Mumbai near unknown location. Cause: accident.,"['accident', 'reported', 'near', 'dadar', 'expect', 'delays']",2
Hyderabad,"Avoid Hitech City if possible, traffic jam reported.",avoid hitech city possible traffic jam reported,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['avoid', 'hitech', 'city', 'possible', 'traffic', 'jam', 'reported']",2
Bangalore,Vehicle breakdown near Koramangala causing congestion.,vehicle breakdown near koramangala causing congestion,Koramangala,vehicle_breakdown,Traffic alert in Bangalore near Koramangala. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'koramangala', 'causing', 'congestion']",0
Mumbai,Rain causing waterlogging near Bandra. Drive carefully!,rain causing waterlogging near bandra drive carefully,,rain,Traffic alert in Mumbai near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'bandra', 'drive', 'carefully']",0
Hyderabad,"Traffic moving smoothly near Jubilee Hills, all clear!",traffic moving smoothly near jubilee hills clear,Jubilee Hills,other,Traffic alert in Hyderabad near Jubilee Hills. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'jubilee', 'hills', 'clear']",2
Mumbai,Andheri route is experiencing high traffic volume.,andheri route experiencing high traffic volume,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['andheri', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Mumbai,"Traffic moving smoothly near Dadar, all clear!",traffic moving smoothly near dadar clear,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'dadar', 'clear']",2
Delhi,Peak hour traffic near Karol Bagh. Plan accordingly.,peak hour traffic near karol bagh plan accordingly,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'karol', 'bagh', 'plan', 'accordingly']",0
Delhi,Rain causing waterlogging near Saket. Drive carefully!,rain causing waterlogging near saket drive carefully,Saket,rain,Traffic alert in Delhi near Saket. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'saket', 'drive', 'carefully']",0
Hyderabad,Rain causing waterlogging near Hitech City. Drive carefully!,rain causing waterlogging near hitech city drive carefully,Hitech City,rain,Traffic alert in Hyderabad near Hitech City. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'hitech', 'city', 'drive', 'carefully']",0
Hyderabad,Jubilee Hills route is experiencing high traffic volume.,jubilee hills route experiencing high traffic volume,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['jubilee', 'hills', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Mumbai,Vehicle breakdown near Colaba causing congestion.,vehicle breakdown near colaba causing congestion,Colaba,vehicle_breakdown,Traffic alert in Mumbai near Colaba. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'colaba', 'causing', 'congestion']",0
Bangalore,"Police checkpoint near Kasavanahalli, causing minor delays.",police checkpoint near kasavanahalli causing minor delays,Kasavanahalli,checkpoint,Traffic alert in Bangalore near Kasavanahalli. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'kasavanahalli', 'causing', 'minor', 'delays']",2
Mumbai,Peak hour traffic near Dadar. Plan accordingly.,peak hour traffic near dadar plan accordingly,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'dadar', 'plan', 'accordingly']",0
Hyderabad,Rain causing waterlogging near Jubilee Hills. Drive carefully!,rain causing waterlogging near jubilee hills drive carefully,Jubilee Hills,rain,Traffic alert in Hyderabad near Jubilee Hills. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'jubilee', 'hills', 'drive', 'carefully']",0
Hyderabad,"Road construction near Jubilee Hills, causing slow traffic.",road construction near jubilee hills causing slow traffic,Jubilee Hills,road_construction,Traffic alert in Hyderabad near Jubilee Hills. Cause: road_construction.,"['road', 'construction', 'near', 'jubilee', 'hills', 'causing', 'slow', 'traffic']",1
Mumbai,"Police checkpoint near Dadar, causing minor delays.",police checkpoint near dadar causing minor delays,Dadar,checkpoint,Traffic alert in Mumbai near Dadar. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'dadar', 'causing', 'minor', 'delays']",2
Mumbai,Peak hour traffic near Powai. Plan accordingly.,peak hour traffic near powai plan accordingly,Powai,other,Traffic alert in Mumbai near Powai. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'powai', 'plan', 'accordingly']",0
Mumbai,"Avoid Colaba if possible, traffic jam reported.",avoid colaba possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['avoid', 'colaba', 'possible', 'traffic', 'jam', 'reported']",2
Delhi,Dwarka route is experiencing high traffic volume.,dwarka route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['dwarka', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,Accident reported near Koramangala. Expect delays.,accident reported near koramangala expect delays,Koramangala,accident,Traffic alert in Bangalore near Koramangala. Cause: accident.,"['accident', 'reported', 'near', 'koramangala', 'expect', 'delays']",2
Delhi,"Police checkpoint near Chandni Chowk, causing minor delays.",police checkpoint near chandni chowk causing minor delays,,checkpoint,Traffic alert in Delhi near unknown location. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'chandni', 'chowk', 'causing', 'minor', 'delays']",2
Delhi,Karol Bagh route is experiencing high traffic volume.,karol bagh route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['karol', 'bagh', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Delhi,Accident reported near Chandni Chowk. Expect delays.,accident reported near chandni chowk expect delays,,accident,Traffic alert in Delhi near unknown location. Cause: accident.,"['accident', 'reported', 'near', 'chandni', 'chowk', 'expect', 'delays']",2
